misra1,misra2,poet
ہم نے اک عمر بسر کی ہے غم یار کے ساتھ ,میرؔ دو دن نہ جئے ہجر کے آزار کے ساتھ ,Ahmad Faraz
اب تو ہم گھر سے نکلتے ہیں تو رکھ دیتے ہیں ,طاق پر عزت سادات بھی دستار کے ساتھ ,Ahmad Faraz
اس قدر خوف ہے اب شہر کی گلیوں میں کہ لوگ ,چاپ سنتے ہیں تو لگ جاتے ہیں دیوار کے ساتھ ,Ahmad Faraz
ایک تو خواب لیے پھرتے ہو گلیوں گلیوں ,اس پہ تکرار بھی کرتے ہو خریدار کے ساتھ ,Ahmad Faraz
شہر کا شہر ہی ناصح ہو تو کیا کیجئے گا ,ورنہ ہم رند تو بھڑ جاتے ہیں دو چار کے ساتھ ,Ahmad Faraz
ہم کو اس شہر میں تعمیر کا سودا ہے جہاں ,لوگ معمار کو چن دیتے ہیں دیوار کے ساتھ ,Ahmad Faraz
جو شرف ہم کو ملا کوچۂ جاناں سے فرازؔ ,سوئے مقتل بھی گئے ہیں اسی پندار کے ساتھ ,Ahmad Faraz
دعائیں دو مرے قاتل کو تم کہ شہر کا شہر ,اسی کے ہاتھ سے ہونا ہلاک چاہتا ہے ,Ahmad Faraz
فسانہ گو بھی کرے کیا کہ ہر کوئی سر بزم ,مآل قصۂ دل دردناک چاہتا ہے ,Ahmad Faraz
ادھر ادھر سے کئی آ رہی ہیں آوازیں ,اور اس کا دھیان بہت انہماک چاہتا ہے ,Ahmad Faraz
ذرا سی گرد ہوس دل پہ لازمی ہے فرازؔ ,وہ عشق کیا ہے جو دامن کو پاک چاہتا ہے ,Ahmad Faraz
یہ کون پھر سے انہیں راستوں میں چھوڑ گیا ,ابھی ابھی تو عذاب سفر سے نکلا تھا ,Ahmad Faraz
یہ تیر دل میں مگر بے سبب نہیں اترا ,کوئی تو حرف لب چارہ گر سے نکلا تھا ,Ahmad Faraz
یہ اب جو آگ بنا شہر شہر پھیلا ہے ,یہی دھواں مرے دیوار و در سے نکلا تھا ,Ahmad Faraz
میں رات ٹوٹ کے رویا تو چین سے سویا ,کہ دل کا زہر مری چشم تر سے نکلا تھا ,Ahmad Faraz
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر ,یہ عیب بھی تو ہم اہل ہنر سے نکلا تھا ,Ahmad Faraz
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ ,تری طرح کوئی دیوانہ گھر سے نکلا تھا ,Ahmad Faraz
اپنی محرومی کے احساس سے شرمندہ ہیں ,خود نہیں رکھتے تو اوروں کے بجھاتے ہیں چراغ ,Ahmad Faraz
بستیاں دور ہوئی جاتی ہیں رفتہ رفتہ ,دم بہ دم آنکھوں سے چھپتے چلے جاتے ہیں چراغ ,Ahmad Faraz
کیا خبر ان کو کہ دامن بھی بھڑک اٹھتے ہیں ,جو زمانے کی ہواؤں سے بچاتے ہیں چراغ ,Ahmad Faraz
گو سیہ بخت ہیں ہم لوگ پہ روشن ہے ضمیر ,خود اندھیرے میں ہیں دنیا کو دکھاتے ہیں چراغ ,Ahmad Faraz
بستیاں چاند ستاروں کی بسانے والو ,کرۂ ارض پہ بجھتے چلے جاتے ہیں چراغ ,Ahmad Faraz
ایسے بے درد ہوئے ہم بھی کہ اب گلشن پر ,برق گرتی ہے تو زنداں میں جلاتے ہیں چراغ ,Ahmad Faraz
ایسی تاریکیاں آنکھوں میں بسی ہیں کہ فرازؔ ,رات تو رات ہے ہم دن کو جلاتے ہیں چراغ ,Ahmad Faraz
ستم تو یہ ہے کہ عہد ستم کے جاتے ہی ,تمام خلق مری ہم نوا نکلتی ہے ,Ahmad Faraz
وصال و ہجر کی حسرت میں جوئے کم مایہ ,کبھی کبھی کسی صحرا میں جا نکلتی ہے ,Ahmad Faraz
میں کیا کروں مرے قاتل نہ چاہنے پر بھی ,ترے لیے مرے دل سے دعا نکلتی ہے ,Ahmad Faraz
وہ زندگی ہو کہ دنیا فرازؔ کیا کیجے ,کہ جس سے عشق کرو بے وفا نکلتی ہے ,Ahmad Faraz
رفتہ رفتہ یہی زنداں میں بدل جاتے ہیں ,اب کسی شہر کی بنیاد نہ ڈالی جائے ,Ahmad Faraz
مصحف رخ ہے کسی کا کہ بیاض حافظ ,ایسے چہرے سے کبھی فال نکالی جائے ,Ahmad Faraz
وہ مروت سے ملا ہے تو جھکا دوں گردن ,میرے دشمن کا کوئی وار نہ خالی جائے ,Ahmad Faraz
بے نوا شہر کا سایہ ہے مرے دل پہ فرازؔ ,کس طرح سے مری آشفتہ خیالی جائے ,Ahmad Faraz
خود فریبی ہی سہی کیا کیجئے دل کا علاج ,تو نظر پھیرے تو ہم سمجھیں کہ پہچانا نہیں ,Ahmad Faraz
ایک دنیا منتظر ہے اور تیری بزم میں ,اس طرح بیٹھے ہیں ہم جیسے کہیں جانا نہیں ,Ahmad Faraz
جی میں جو آتی ہے کر گزرو کہیں ایسا نہ ہو ,کل پشیماں ہوں کہ کیوں دل کا کہا مانا نہیں ,Ahmad Faraz
زندگی پر اس سے بڑھ کر طنز کیا ہوگا فرازؔ ,اس کا یہ کہنا کہ تو شاعر ہے دیوانا نہیں ,Ahmad Faraz
یہ کن نظروں سے تو نے آج دیکھا ,کہ تیرا دیکھنا دیکھا نہ جائے ,Ahmad Faraz
ہمیشہ کے لیے مجھ سے بچھڑ جا ,یہ منظر بارہا دیکھا نہ جائے ,Ahmad Faraz
غلط ہے جو سنا پر آزما کر ,تجھے اے بے وفا دیکھا نہ جائے ,Ahmad Faraz
یہ محرومی نہیں پاس وفا ہے ,کوئی تیرے سوا دیکھا نہ جائے ,Ahmad Faraz
یہی تو آشنا بنتے ہیں آخر ,کوئی نا آشنا دیکھا نہ جائے ,Ahmad Faraz
یہ میرے ساتھ کیسی روشنی ہے ,کہ مجھ سے راستہ دیکھا نہ جائے ,Ahmad Faraz
فرازؔ اپنے سوا ہے کون تیرا ,تجھے تجھ سے جدا دیکھا نہ جائے ,Ahmad Faraz
وہ کپکپاتے ہوئے ہونٹ میرے شانے پر ,وہ خواب سانپ کی مانند ڈس گیا مجھ کو ,Ahmad Faraz
چٹخ اٹھا ہو سلگتی چٹان کی صورت ,پکار اب تو مرے دیر آشنا مجھ کو ,Ahmad Faraz
تجھے تراش کے میں سخت منفعل ہوں کہ لوگ ,تجھے صنم تو سمجھنے لگے خدا مجھ کو ,Ahmad Faraz
یہ اور بات کہ اکثر دمک اٹھا چہرہ ,کبھی کبھی یہی شعلہ بجھا گیا مجھ کو ,Ahmad Faraz
یہ قربتیں ہی تو وجہ فراق ٹھہری ہیں ,بہت عزیز ہیں یاران بے وفا مجھ کو ,Ahmad Faraz
ستم تو یہ ہے کہ ظالم سخن شناس نہیں ,وہ ایک شخص کہ شاعر بنا گیا مجھ کو ,Ahmad Faraz
اسے فرازؔ اگر دکھ نہ تھا بچھڑنے کا ,تو کیوں وہ دور تلک دیکھتا رہا مجھ کو ,Ahmad Faraz
نہ پوچھ جب وہ گزرتا ہے بے نیازی سے ,تو کس ملال سے ہم نامہ بر کو دیکھتے ہیں ,Ahmad Faraz
ترے جمال سے ہٹ کر بھی ایک دنیا ہے ,یہ سیر چشم مگر کب ادھر کو دیکھتے ہیں ,Ahmad Faraz
عجب فسون خریدار کا اثر ہے کہ ہم ,اسی کی آنکھ سے اپنے ہنر کو دیکھتے ہیں ,Ahmad Faraz
فرازؔ در خور سجدہ ہر آستانہ نہیں ,ہم اپنے دل کے حوالے سے در کو دیکھتے ہیں ,Ahmad Faraz
یہ قربتوں میں عجب فاصلے پڑے کہ مجھے ,ہے آشنا کی طلب آشنا کے ہوتے ہوئے ,Ahmad Faraz
وہ حیلہ گر ہیں جو مجبوریاں شمار کریں ,چراغ ہم نے جلائے ہوا کے ہوتے ہوئے ,Ahmad Faraz
نہ چاہنے پہ بھی تجھ کو خدا سے مانگ لیا ,یہ حال ہے دل بے مدعا کے ہوتے ہوئے ,Ahmad Faraz
نہ کر کسی پہ بھروسہ کہ کشتیاں ڈوبیں ,خدا کے ہوتے ہوئے ناخدا کے ہوتے ہوئے ,Ahmad Faraz
مگر یہ اہل ریا کس قدر برہنہ ہیں ,گلیم و دلق و عبا و قبا کے ہوتے ہوئے ,Ahmad Faraz
کسے خبر ہے کہ کاسہ بدست پھرتے ہیں ,بہت سے لوگ سروں پر ہما کے ہوتے ہوئے ,Ahmad Faraz
فرازؔ ایسے بھی لمحے کبھی کبھی آئے ,کہ دل گرفتہ رہے دل ربا کے ہوتے ہوئے ,Ahmad Faraz
رو رہے ہیں کہ ایک عادت ہے ,ورنہ اتنا نہیں ملال ہمیں ,Ahmad Faraz
خلوتی ہیں ترے جمال کے ہم ,آئنے کی طرح سنبھال ہمیں ,Ahmad Faraz
مرگ انبوہ جشن شادی ہے ,مل گئے دوست حسب حال ہمیں ,Ahmad Faraz
اختلاف جہاں کا رنج نہ تھا ,دے گئے مات ہم خیال ہمیں ,Ahmad Faraz
کیا توقع کریں زمانے سے ,ہو بھی گر جرأت سوال ہمیں ,Ahmad Faraz
ہم یہاں بھی نہیں ہیں خوش لیکن ,اپنی محفل سے مت نکال ہمیں ,Ahmad Faraz
ہم ترے دوست ہیں فرازؔ مگر ,اب نہ اور الجھنوں میں ڈال ہمیں ,Ahmad Faraz
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں ,خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے ,Ahmad Faraz
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے ,پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے ,Ahmad Faraz
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے ,تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے ,Ahmad Faraz
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو ,ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے ,Ahmad Faraz
بہت سے ایسے ستم گر تھے اب جو یاد نہیں ,کسی حبیب دل آزار کے علاوہ بھی ,Ahmad Faraz
یہ کیا کہ تم بھی سر راہ حال پوچھتے ہو ,کبھی ملو ہمیں بازار کے علاوہ بھی ,Ahmad Faraz
اجاڑ گھر میں یہ خوشبو کہاں سے آئی ہے ,کوئی تو ہے در و دیوار کے علاوہ بھی ,Ahmad Faraz
سو دیکھ کر ترے رخسار و لب یقیں آیا ,کہ پھول کھلتے ہیں گل زار کے علاوہ بھی ,Ahmad Faraz
کبھی فرازؔ سے آ کر ملو جو وقت ملے ,یہ شخص خوب ہے اشعار کے علاوہ بھی ,Ahmad Faraz
اداسیاں ہوں مسلسل تو دل نہیں روتا ,کبھی کبھی ہو تو یہ کیفیت بھی پیاری لگے ,Ahmad Faraz
بظاہر ایک ہی شب ہے فراق یار مگر ,کوئی گزارنے بیٹھے تو عمر ساری لگے ,Ahmad Faraz
علاج اس دل درد آشنا کا کیا کیجے ,کہ تیر بن کے جسے حرف غم گساری لگے ,Ahmad Faraz
ہمارے پاس بھی بیٹھو بس اتنا چاہتے ہیں ,ہمارے ساتھ طبیعت اگر تمہاری لگے ,Ahmad Faraz
فرازؔ تیرے جنوں کا خیال ہے ورنہ ,یہ کیا ضرور وہ صورت سبھی کو پیاری لگے ,Ahmad Faraz
حدیں وفا کی بھی آخر ہوس سے ملتی ہیں ,یہ راستہ بھی ادھر سے ادھر کو جاتا ہے ,Ahmad Faraz
یہ دل کا درد تو عمروں کا روگ ہے پیارے ,سو جائے بھی تو پہر دو پہر کو جاتا ہے ,Ahmad Faraz
یہ حال ہے کہ کئی راستے ہیں پیش نظر ,مگر خیال تری رہگزر کو جاتا ہے ,Ahmad Faraz
تو انوریؔ ہے نہ غالبؔ تو پھر یہ کیوں ہے فرازؔ ,ہر ایک سیل بلا تیرے گھر کو جاتا ہے ,Ahmad Faraz
